"code","prec1998"
"US1AKAB0022",0
"US1ALBW0031",38
"US1ALBW0054",0
"US1ALBW0079",0
"US1ALCM0004",0
"US1ALCM0022",48
"US1ALFR0007",0
"US1ALJF0025",0
"US1ALLD0029",0
"US1ALLS0008",0
"US1ALMB0021",43
"US1ALMD0015",5
"US1ALMD0087",0
"US1ALMG0014",0
"US1ALMG0017",46
"US1ALMS0006",20
"US1ALTP0007",3
"US1ALWS0001",152
"US1ARAS0007",378
"US1ARBT0028",259
"US1ARBT0036",226
"US1ARBX0003",0
"US1ARCR0018",0
"US1ARFK0017",0
"US1ARGN0006",0
"US1ARIN0002",0
"US1ARJF0002",0
"US1ARLF0001",254
"US1ARML0009",58
"US1ARRN0008",0
"US1ARRN0011",132
"US1ARRN0012",43
"US1ARSL0006",0
"US1ARST0002",0
"US1ARST0015",0
"US1ARVB0011",28
"US1ARWH0009",0
"US1ARWS0036",0
"US1AZCH0019",76
"US1AZCN0066",0
"US1AZCN0088",8
"US1AZCN0137",0
"US1AZMH0004",0
"US1AZMH0021",33
"US1AZMR0016",0
"US1AZMR0017",0
"US1AZMR0046",0
"US1AZMR0048",363
"US1AZMR0103",0
"US1AZMR0160",0
"US1AZMR0170",0
"US1AZMR0203",0
"US1AZMR0248",0
"US1AZMR0334",0
"US1AZNV0010",0
"US1AZNV0012",5
"US1AZNV0018",0
"US1AZPM0010",0
"US1AZPM0044",0
"US1AZPM0046",104
"US1AZPM0054",0
"US1AZPM0105",0
"US1AZPM0106",0
"US1AZPM0109",0
"US1AZPM0160",0
"US1AZPM0162",0
"US1AZPM0193",0
"US1AZPM0204",58
"US1AZPM0214",0
"US1AZPM0326",0
"US1AZPN0008",203
"US1AZPN0025",137
"US1AZPN0049",0
"US1AZYV0001",11.8672566371681
"US1AZYV0021",13
"US1AZYV0061",0
"US1AZYV0087",0
"US1AZYV0108",0
"US1CAAL0016",18
"US1CACC0025",0
"US1CAHM0002",0
"US1CAHM0052",0
"US1CALA0003",5
"US1CALA0034",0
"US1CAMD0019",0
"US1CAMN0001",0
"US1CAMP0008",0
"US1CAMR0001",9
"US1CAMR0024",737
"US1CANV0041",0
"US1CANV0042",0
"US1CAPC0019",0
"US1CASC0041",0
"US1CASC0053",5
"US1CASD0011",0
"US1CASD0061",0
"US1CASD0117",0
"US1CASK0003",0
"US1CASK0010",0
"US1CASM0005",0
"US1CASM0038",3
"US1CASN0021",894
"US1CASR0052",102
"US1CASR0072",5
"US1CASS0001",3
"US1CASZ0006",0
"US1CASZ0045",419
"US1CATH0025",0
"US1COAD0100",0
"US1COAD0154",0
"US1COAR0259",3
"US1COAR0266",0
"US1COAR0297",0
"US1COAU0038",0
"US1COBA0012",0
"US1COBA0016",0
"US1COBA0030",0
"US1COBA0031",76
"US1COBO0009",23
"US1COBO0091",0
"US1COBO0110",56
