"code","temp1997"
"USC00010160",228.724550898204
"USC00010178",230.788732394366
"USC00010252",255.636363636364
"USC00010369",209.205714285714
"USC00010390",205.978082191781
"USC00010402",244.482191780822
"USC00010425",228.703296703297
"USC00010505",234.827397260274
"USC00010583",241.56657223796
"USC00010616",242.630136986301
"USC00010655",213.380821917808
"USC00010764",239.232876712329
"USC00011080",251.961538461538
"USC00011084",254.841095890411
"USC00011099",208.326530612245
"USC00011301",238.887671232877
"USC00011324",231.93698630137
"USC00011566",248.464788732394
"USC00011620",242.552197802198
"USC00011694",224.465564738292
"USC00011725",242.898876404494
"USC00011803",235.572602739726
"USC00012096",207.35989010989
"USC00012172",235.188034188034
"USC00012245",232.824657534247
"USC00012675",237.967455621302
"USC00012730",242.608219178082
"USC00012758",233.846575342466
"USC00012813",248.432506887052
"USC00012883",225.329639889197
"USC00013105",235.232876712329
"USC00013154",224.038997214485
"USC00013160",229.255494505495
"USC00013251",240.512396694215
"USC00013511",245.553424657534
"USC00013519",249.408219178082
"USC00013573",214.021978021978
"USC00013575",210.858725761773
"USC00013620",201.936962750716
"USC00013645",226.630136986301
"USC00013761",246.75975975976
"USC00013775",215.241095890411
"USC00013816",231.874285714286
"USC00014193",248.756756756757
"USC00014226",220.432876712329
"USC00014502",226.285318559557
"USC00014798",212.966911764706
"USC00015121",229.194520547945
"USC00015439",235.907303370787
"USC00015635",219.353424657534
"USC00016121",208.056022408964
"USC00016129",228.127840909091
"USC00016478",224.476712328767
"USC00016988",248.550279329609
"USC00017131",211.756164383562
"USC00017157",224.980609418283
"USC00017207",202.781163434903
"USC00017304",212.686813186813
"USC00017366",247.798192771084
"USC00017955",218.838356164384
"USC00017999",229.164383561644
"USC00018024",223.786301369863
"USC00018178",240.52602739726
"USC00018209",224.095774647887
"USC00018323",239.227777777778
"USC00018380",237.032876712329
"USC00018438",234.830136986301
"USC00018469",202.380821917808
"USC00018517",226.363636363636
"USC00018867",243.956164383562
"USC00018998",226.074792243767
"USC00020060",279.009933774834
"USC00020080",299.281746031746
"USC00020100",311.246575342466
"USC00020159",157.495774647887
"USC00020287",280.441011235955
"USC00020288",300.93956043956
"USC00020586",252.008450704225
"USC00020632",301.248962655602
"USC00020670",243.141304347826
"USC00020672",282.328767123288
"USC00020683",267.720547945205
"USC00020750",155.705167173252
"USC00020773",233.850340136054
"USC00020775",227.952380952381
"USC00020808",206.597260273973
"USC00020871",195.288194444444
"USC00020949",306.312328767123
"USC00020958",266.638356164384
"USC00021001",137
"USC00021050",320.597260273973
"USC00021231",234.78904109589
"USC00021248",185.452307692308
"USC00021282",278.606741573034
"USC00021306",324.951923076923
"USC00021314",317.87397260274
"USC00021330",281.591780821918
"USC00021353",317.717213114754
"USC00021514",293.676966292135
"USC00021574",179.9625
"USC00021614",272.26301369863
"USC00021654",227.279475982533
"USC00021664",229.164383561644
"USC00021920",213.096153846154
"USC00022109",249.252077562327
"USC00022140",235.391780821918
"USC00022434",315.381868131868
"USC00022754",261.750684931507
"USC00022790",313.28650137741
"USC00022807",312.839116719243
"USC00023009",162.378917378917
"USC00023027",296.970930232558
"USC00023150",263.745714285714
"USC00023160",165.967123287671
"USC00023190",298.515068493151
"USC00023303",187.940677966102
"USC00023393",319.430136986301
"USC00023505",257.741134751773
"USC00023596",204.955801104972
"USC00023683",146.235616438356
"USC00023828",156.393393393393
"USC00023961",190.467432950192
"USC00024053",257.376811594203
"USC00024089",233.394520547945
"USC00024453",207.967032967033
"USC00024675",193.342028985507
"USC00024702",293.750684931507
"USC00024761",312.167763157895
"USC00024829",314.39010989011
"USC00024977",325.14465408805
"USC00025129",171.819314641745
"USC00025270",314.821917808219
"USC00025412",160.052054794521
"USC00025426",262.665753424658
"USC00025512",250.885057471264
"USC00025635",262.31955922865
"USC00025665",185.13698630137
"USC00025700",283.405660377359
"USC00025780",167.344827586207
"USC00025924",268.785123966942
"USC00026037",204.198895027624
"USC00026119",229.739726027397
"USC00026132",309.259668508287
"USC00026180",207.61095890411
"USC00026250",312.685714285714
"USC00026353",257.054794520548
"USC00026468",208.763085399449
"USC00026471",281.650602409639
"USC00026513",306.93837535014
"USC00026597",189.494505494505
"USC00026616",210.878453038674
"USC00026653",222.706849315068
"USC00026716",216.736842105263
"USC00026796",211.187845303867
"USC00026840",267.245762711864
"USC00026865",300.349253731343
"USC00027281",284.038461538462
"USC00027390",272.421917808219
"USC00027435",202.153631284916
"USC00027462",284.417582417582
"USC00027480",280.083333333333
"USC00027488",204.231197771588
"USC00027560",262.465753424658
"USC00027593",247.054794520548
"USC00027619",282.953795379538
"USC00027625",270.132478632479
"USC00027708",242.214285714286
"USC00027716",221.346153846154
"USC00027855",189.991780821918
"USC00027880",261.711920529801
"USC00028012",204.227397260274
"USC00028018",195.52602739726
"USC00028112",297.914835164835
"USC00028162",182.607242339833
"USC00028214",298.314917127072
"USC00028329",168.021978021978
"USC00028348",263.687116564417
"USC00028396",315.539726027397
"USC00028468",196.123595505618
"USC00028499",309.961290322581
"USC00028516",291.072222222222
"USC00028619",258.783561643836
"USC00028792",207.997237569061
"USC00028795",287.775700934579
"USC00028796",288.825484764543
"USC00028815",314.438524590164
"USC00028817",298.602739726027
"USC00028865",267.286111111111
"USC00028904",264.980662983425
"USC00029114",225.702005730659
"USC00029158",223.295890410959
"USC00029271",234.46
"USC00029287",299.569863013699
"USC00029309",290.712328767123
"USC00029334",267.15223880597
"USC00029359",170.213698630137
"USC00029376",315.274725274725
"USC00029410",180.7
"USC00029542",216.648351648352
"USC00029634",310.625344352617
"USC00029645",288.291536050157
"USC00029652",312.848396501458
"USC00029656",186.222222222222
"USC00030064",203.194029850746
"USC00030130",221.851648351648
"USC00030220",232.558479532164
"USC00030240",214.985835694051
"USC00030458",227.074380165289
"USC00030460",209.054945054945
"USC00030536",205.381355932203
"USC00030582",220.54954954955
"USC00030586",194.457534246575
"USC00030764",217.1108033241
"USC00030798",221.942465753425
"USC00030806",202.593406593407
"USC00030832",219.068493150685
"USC00030936",208.446575342466
"USC00031102",189.206611570248
"USC00031132",210.242424242424
"USC00031140",216.006329113924
"USC00031152",231.387362637363
"USC00031442",212.958904109589
"USC00031459",209.243835616438
"USC00031596",223.292817679558
"USC00031632",204.928767123288
"USC00031730",231.412921348315
"USC00031838",224.72602739726
"USC00031900",166.320547945205
