"code","prec2010"
"US009052008",21.2106741573034
"US10adam001",29.1221374045802
"US10adam002",23.3972602739726
"US10adam003",103.974358974359
"US10adam004",22.0712328767123
"US10adam006",22.1698630136986
"US10adam007",141.509803921569
"US10adam008",20.4657534246575
"US10adam010",19.0438356164384
"US10adam012",27.7714285714286
"US10adam013",19.5045317220544
"US10adam015",31.2816901408451
"US10adam017",19.5
"US10adam019",29.8232323232323
"US10adam022",19.4191780821918
"US10adam024",119.641509433962
"US10adam025",101.636363636364
"US10adam028",28.1139240506329
"US10adam029",113.553846153846
"US10adam032",25.3808219178082
"US10adam033",28.0662020905923
"US10adam034",34.1283422459893
"US10adam035",26.3076923076923
"US10adam036",24.5614035087719
"US10adam039",28.8686868686869
"US10adam041",28.4507042253521
"US10adam043",39.1473684210526
"US10adam045",80.4545454545455
"US10adam046",5.56603773584906
"US10ante003",20.6109589041096
"US10bann005",76.8292682926829
"US10bann006",91.9523809523809
"US10bann008",6.94736842105263
"US10bann009",8.43367346938776
"US10blai011",39.7551020408163
"US10boon002",29.1428571428571
"US10boon005",19.6194444444444
"US10boon008",6.74096385542169
"US10boon009",23.2575342465753
"US10boon010",26.4145454545455
"US10boon011",24.2527881040892
"US10box_001",13.8762214983713
"US10box_003",15.0684931506849
"US10box_004",12.9397260273973
"US10box_005",6.62962962962963
"US10box_006",17.2736842105263
"US10box_007",105.333333333333
"US10box_008",14.2751937984496
"US10box_009",15.9969325153374
"US10boyd003",117.78431372549
"US10brow004",17.6986301369863
"US10brow005",16.1850649350649
"US10brow006",21.3480392156863
"US10brow007",17.7196261682243
"US10brow008",22.8698412698413
"US10brow009",12.0967741935484
"US10buff002",17.1178082191781
"US10buff004",17.613698630137
"US10buff006",21.0716253443526
"US10buff007",23.9341317365269
"US10buff008",22.2575342465753
"US10buff011",102.185185185185
"US10buff012",73.4375
"US10buff013",17.2544378698225
"US10buff019",49.9090909090909
"US10buff025",26.5679012345679
"US10burt002",24.0082191780822
"US10butl005",23.3668831168831
"US10butl008",21.2767123287671
"US10butl010",50.29
"US10butl011",23.1342465753425
"US10butl013",280.4
"US10cass001",23.5123287671233
"US10cass005",37.9498069498069
"US10ceda001",26.2988929889299
"US10ceda002",29.4602739726027
"US10ceda003",26.595652173913
"US10ceda004",56.8888888888889
"US10ceda005",31.4192546583851
"US10ceda006",27.0765765765766
"US10ceda008",27.5551330798479
"US10ceda009",17.5177514792899
"US10ceda011",27.6971608832808
"US10ceda012",20.4915254237288
"US10ceda013",7.47058823529412
"US10ceda015",21.5919732441472
"US10ceda016",19.2465753424658
"US10ceda017",34.8878504672897
"US10chas001",17.7290322580645
"US10chas002",16.3890410958904
"US10chas003",15.1717451523546
"US10chas005",17
"US10chas006",28.5932203389831
"US10chas011",19.0959302325581
"US10chas012",18.3287671232877
"US10chas013",112.435897435897
"US10chas016",16.7162921348315
"US10chas017",53.5681818181818
"US10chas018",12.6896551724138
"US10chas023",91.22
"US10chas025",19.7651515151515
"US10chas026",28.0333333333333
"US10chas027",18.7890410958904
"US10chas028",16.7479452054795
"US10chas029",22.7878787878788
"US10chas031",125.790697674419
"US10chas032",79.531914893617
"US10chas033",120.5
"US10chas034",16.0885714285714
"US10chas035",54.7719298245614
"US10cher001",138.695652173913
"US10cher005",11.8963585434174
"US10cher007",9.11780821917808
"US10cher008",22.4716981132075
"US10cher010",25.1858974358974
"US10cher011",21.6598360655738
"US10cher012",24.3554502369668
"US10cher013",119.017857142857
"US10cher016",10.9506849315068
"US10cher018",14.9861495844875
