"code","prec2000"
"US1COLR0395",25.4761904761905
"US1COLR0397",13.9187817258883
"US1COLR0402",15.3738317757009
"US1COLR0403",8.02985074626866
"US1COLR0406",9.80487804878049
"US1COLR0407",5.77094972067039
"US1COLR0409",17.1764705882353
"US1COLR0413",0
"US1COLR0453",48.1666666666667
"US1COLR0456",44.0138888888889
"US1COLR0457",29.06
"US1COLR0458",51
"US1COLR0461",14.9224137931034
"US1COLR0463",41.2972972972973
"US1COLR0464",25.8478260869565
"US1COLR0468",7.96857142857143
"US1COLR0469",29.75
"US1COLR0472",13.2631578947368
"US1COLR0473",37
"US1COLR0474",4.44545454545455
"US1COLR0480",59.4166666666667
"US1COLR0481",23.4
"US1COLR0485",66.36
"US1COLR0486",7.34630350194552
"US1COLR0488",29.1194029850746
"US1COLR0489",68.8181818181818
"US1COLR0490",7.13214285714286
"US1COLR0491",9.8273381294964
"US1COLR0493",40.2337662337662
"US1COLR0494",9.35714285714286
"US1COLR0495",6.31161473087819
"US1COLR0496",10.4358974358974
"US1COLR0497",9.85245901639344
"US1COLR0500",10.2373737373737
"US1COLR0501",8.72126436781609
"US1COLR0504",26.3823529411765
"US1COLR0506",7.31601731601732
"US1COLR0507",24.0689655172414
"US1COLR0509",8.2896174863388
"US1COLR0512",10.7516339869281
"US1COLR0515",9.12068965517241
"US1COLR0516",7.71282051282051
"US1COLR0519",25
"US1COLR0520",11.472972972973
"US1COLR0521",65.5
"US1COLR0522",34.811320754717
"US1COLR0524",13.6371681415929
"US1COLR0525",45.0285714285714
"US1COLR0528",43.35
"US1COLR0529",11.3684210526316
"US1COLR0530",3.54545454545455
"US1COLR0546",10.032
"US1COLR0869",117
"US1COLR1019",12.0348837209302
"US1COMR0002",46.7142857142857
"US1COMR0029",64.5
"US1COMR0030",17.9477124183007
"US1COMR0031",13.8888888888889
"US1COMR0058",141.5
"US1COMR0059",18.0134228187919
"US1COMR0061",205.75
"US1COMT0005",25.5128205128205
"US1COPH0002",55.8125
"US1COPH0003",24.0588235294118
"US1COPH0004",7.80392156862745
"US1COPH0005",0
"US1COPK0002",10.5032679738562
"US1COSG0001",11.9542483660131
"US1COSG0002",9.64052287581699
"US1COSG0003",11.1476510067114
"US1COWA0003",19.6410256410256
"US1COWA0007",13.1045751633987
"US1COWA0008",10.2352941176471
"US1COWA0009",39.4705882352941
"US1COWA0010",26.2105263157895
"US1COWA0012",53.2666666666667
"US1COWE0058",136.833333333333
"US1COWE0060",16.2212389380531
"US1COWE0061",56.3333333333333
"US1COWE0065",7.92857142857143
"US1COWE0066",13.7352941176471
"US1COWE0068",14.0295857988166
"US1COWE0071",6.47413793103448
"US1COWE0072",54.5
"US1COWE0075",14.8409090909091
"US1COWE0078",24.6129032258065
"US1COWE0079",4.94974874371859
"US1COWE0080",11.2626262626263
"US1COWE0081",11.6497175141243
"US1COWE0082",8.36440677966102
"US1COWE0084",8.52475247524752
"US1COWE0086",15.5126050420168
"US1COWE0088",11.3428571428571
"US1COWE0089",8.7185628742515
"US1COWE0090",11.3011363636364
"US1COWE0093",9.1359649122807
"US1COWE0095",8.78181818181818
"US1COWE0096",9.83928571428571
"US1COWE0097",30.1891891891892
"US1COWE0098",29.125
"US1COWE0116",0
"US1COWE0119",79.1111111111111
"US1COWE0120",3.66666666666667
"US1COWE0122",13.7142857142857
"US1COWE0123",10.1513157894737
"US1COWE0143",2.04
"US1COWE0145",25.5
"US1COWE0147",38.04
"US1COWE0148",7.63422818791946
"US1COWE0149",10.9873417721519
"US1COWE0151",18.9444444444444
"US1COWE0152",11.1666666666667
"US1COWE0158",12.125
"US1COWE0161",47.5769230769231
"US1COWE0163",8.11073825503356
"US1COWE0166",11.4051282051282
"US1COWE0167",12.7734375
"US1COWE0169",9.17117117117117
