State,Year,Ave_Temp
IA,2002,60.00037866
IA,2003,59.11919617
IA,2004,59.05202485
IA,2005,60.50227325
IA,2006,60.95342091
IA,2007,59.39339394
IA,2008,56.36878127
IA,2009,56.89821703
IA,2010,58.62594118
IA,2011,59.0213378
ID,1992,58.3924605
ID,1993,54.07533246
ID,1994,57.91924201
ID,1995,55.93254452
ID,1996,55.97387401
ID,1997,56.11367208
ID,1998,56.75295296
ID,1999,57.08123331
ID,2000,56.74752371
ID,2001,57.77855864
ID,2002,56.20236442
ID,2003,58.35343735
ID,2004,56.79265544
ID,2005,56.72754677
ID,2006,57.50182773
ID,2007,58.28450895
ID,2008,55.93833775
ID,2009,55.40595281
ID,2010,55.43961804
ID,2011,55.00145061
IL,1992,61.38416385
IL,1993,60.06878097
IL,1994,62.23290898
IL,1995,61.69383525
IL,1996,60.03346051
IL,1997,60.38424609
IL,1998,64.49243841
IL,1999,64.01088383
IL,2000,62.06174335
IL,2001,63.54463075
IL,2002,63.41728926
IL,2003,62.22914692
IL,2004,62.50189257
IL,2005,64.30491717
IL,2006,63.92581963
IL,2007,63.5953984
IL,2008,60.46184278
IL,2009,60.88450368
IL,2010,62.92412213
IL,2011,62.77236584
IN,1992,60.86259817
IN,1993,59.82339763
IN,1994,61.884917
IN,1995,62.13316469
IN,1996,59.8493029
IN,1997,59.76406954
IN,1998,64.42296693
IN,1999,64.00574415
IN,2000,61.64359712
IN,2001,63.29759756
IN,2002,62.94057257
IN,2003,60.45624354
IN,2004,61.74668086
IN,2005,62.55753597
IN,2006,63.02521492
IN,2007,63.99612985
IN,2008,61.58934108
IN,2009,60.576041
IN,2010,62.70293073
IN,2011,62.61637859
KS,1992,66.12863143
KS,1993,63.5592492
KS,1994,67.82282376
KS,1995,66.74097882
KS,1996,65.89428978
KS,1997,65.88481912
KS,1998,67.94951419
KS,1999,68.78037063
KS,2000,68.29420515
KS,2001,68.4362489
KS,2002,68.16027111
KS,2003,67.91993221
KS,2004,67.08602621
KS,2005,68.24981021
KS,2006,70.28336218
KS,2007,66.82189117
KS,2008,66.04118679
KS,2009,65.72809321
KS,2010,67.14200628
KS,2011,68.2043491
KY,1992,66.39274422
KY,1993,66.7464318
KY,1994,67.49230222
KY,1995,67.49748961
KY,1996,65.66447108
KY,1997,65.91117742
KY,1998,69.36941503
KY,1999,70.1402391
KY,2000,67.18629828
KY,2001,68.43973235
KY,2002,67.854361
KY,2003,66.053865
KY,2004,67.40722885
KY,2005,68.27889513
KY,2006,68.32300454
KY,2007,69.71094249
KY,2008,67.75837415
KY,2009,66.25492323
KY,2010,67.55030046
KY,2011,66.62616833
LA,1992,76.06328216
LA,1993,76.02929309
LA,1994,76.4987657
LA,1995,77.79329841
LA,1996,76.79444605
LA,1997,76.29298634
LA,1998,78.90595597
LA,1999,79.21613672
LA,2000,78.33021028
LA,2001,77.09338386
LA,2002,76.79644606
LA,2003,76.78319994
LA,2004,77.17890447
LA,2005,78.30771488
LA,2006,78.87532232
LA,2007,77.63907674
LA,2008,77.44514974
LA,2009,76.92549651
LA,2010,77.38413624
LA,2011,77.96839243
MA,1992,57.53870126
MA,1993,58.81809706
MA,1994,59.276849
MA,1995,59.42369041
MA,1996,58.33613204
MA,1997,58.90517123
MA,1998,61.12379848
MA,1999,61.76475865
MA,2000,58.32357635
MA,2001,60.97727261
MA,2002,60.31909004
MA,2003,57.86910463
MA,2004,58.03424747
MA,2005,59.12914009
MA,2006,60.28875233
MA,2007,59.32759475
MA,2008,59.53095509
MA,2009,58.16722045
MA,2010,61.10569932
MA,2011,60.51276973
MD,1992,62.54228592
